,strategy,long_leg,short_leg
2019-03-03,-0.007612838362924989,-0.02219497560231439,-0.014582137239389403
2019-03-08,-0.00430613090777097,0.0006164052238507099,0.0049225361316216805
2019-03-13,-0.0016758341416571749,0.010522043047579314,0.012197877189236489
2019-03-18,0.0068193960124073635,-0.001901905464285203,-0.008721301476692566
2019-03-23,0.0031186773023017507,0.004067517656973939,0.0009488403546721886
2019-03-28,-0.0038707681305516703,0.013269833559082504,0.017140601689634175
2019-04-02,0.003455707272311508,0.003191647774982143,-0.00026405949732936527
2019-04-07,-0.002452268401200635,-0.007010776249847929,-0.004558507848647294
2019-04-12,-0.025597902001781928,0.007679519559293841,0.03327742156107577
2019-04-17,0.02551133486343317,0.00606927465380923,-0.01944206020962394
2019-04-22,0.013775265730797489,0.015251472154751772,0.0014762064239542843
2019-04-27,-0.0013404606663841379,-0.008188568768418024,-0.006848108102033886
2019-05-02,0.004074591911538954,0.01047848755204903,0.006403895640510075
2019-05-07,0.002528987436953987,-0.017036558150826706,-0.019565545587780692
2019-05-12,-0.013422803346473566,0.018100511201822964,0.03152331454829653
2019-05-17,-0.0033722212556495474,-0.005543228091232101,-0.0021710068355825533
2019-05-22,-0.002398509399688064,-0.023509687368383946,-0.021111177968695882
2019-05-27,-0.00821089196025095,-0.02006930778257429,-0.011858415822323342
2019-06-01,-0.011313798864188797,0.024213753963356115,0.03552755282754491
2019-06-06,-0.003928270180419059,0.02053544990530165,0.02446372008572071
2019-06-11,0.0014020832529203068,-0.0012978279746369836,-0.0026999112275572904
2019-06-16,-0.007152579183331301,0.01658964401037053,0.023742223193701832
2019-06-21,0.030312017704439236,0.002438724332548781,-0.027873293371890456
2019-06-26,0.007566300323611944,0.014490203302934136,0.006923902979322192
2019-07-01,-0.003483889199061653,0.01595890873004656,0.019442797929108212
2019-07-06,0.0012679374359678892,0.0041969000036977035,0.0029289625677298143
2019-07-11,0.005169286927431388,0.007817827580026217,0.0026485406525948293
2019-07-16,0.007117228359408981,0.0006944810626290099,-0.006422747296779971
2019-07-21,-0.021284395133606623,-0.016714414136295243,0.00456998099731138
2019-07-26,0.0019212777168891625,0.0033840988222931722,0.0014628211054040097
2019-07-31,0.012301117486027194,-0.018800167194632886,-0.03110128468066008
2019-08-05,-0.004258853842313677,0.019139968199622288,0.023398822041935965
2019-08-10,-0.009362774114702179,-0.019876924510301788,-0.010514150395599609
2019-08-15,-0.010511942837044623,0.009999669907339583,0.020511612744384206
2019-08-20,0.005737708327186352,-0.02550560044929704,-0.031243308776483392
2019-08-25,-0.014241136929046997,0.008113875926084032,0.02235501285513103
2019-08-30,-0.0004624008494283886,0.0003523159304698731,0.0008147167798982617
2019-09-04,-0.009997804455315552,0.0183928367558373,0.028390641211152853
2019-09-09,0.001836969056101822,0.008381512144509405,0.006544543088407583
2019-09-14,0.003450943447444996,0.005919698928255854,0.002468755480810858
2019-09-19,0.003234419048417318,7.783738900264214e-05,-0.003156581659414676
2019-09-24,0.007466201100086582,-0.004781370797986644,-0.012247571898073226
2019-09-29,0.0037515779852715543,-0.015406592764208676,-0.01915817074948023
2019-10-04,-0.012878182765864584,-0.008600585358502543,0.004277597407362041
2019-10-09,-0.0008191695411874783,0.023245035855855772,0.02406420539704325
2019-10-14,0.013680285127388654,0.018181403599723055,0.004501118472334401
2019-10-19,-0.00015374224335953143,0.0034702143144817775,0.003623956557841309
2019-10-24,0.014116455203782323,0.0208501471527689,0.0067336919489865785
2019-10-29,0.012744443512426441,0.019384321362886866,0.006639877850460425
2019-11-03,0.006901569947503355,0.011067164381028255,0.0041655944335249
2019-11-08,0.0037610646357892482,0.007822621697632384,0.004061557061843136
2019-11-13,0.008683805661860939,0.018254746643504936,0.009570940981643997
2019-11-18,-0.0006690377831271071,0.0006838896918137641,0.0013529274749408712
2019-11-23,-0.003350368494275214,0.0002320449525616418,0.0035824134468368557
2019-11-28,0.0,0.0,0.0
2019-12-03,-0.004947713672471886,0.007097487696542239,0.012045201369014125
2019-12-08,-0.00358706373635281,0.013981862985713838,0.017568926722066648
2019-12-13,0.00043949603847520365,-0.002542686921600943,-0.0029821829600761465
2019-12-18,0.0018476585191451265,0.014981212479382248,0.013133553960237122
2019-12-23,-0.0031744211711582436,-0.00282503627944919,0.0003493848917090537
2019-12-28,0.0010835458049358562,0.0043497437295597656,0.0032661979246239093
2020-01-02,-0.0019208681815759748,-0.008068128011656326,-0.006147259830080351
2020-01-07,-0.005501096270283454,0.008179616415530095,0.01368071268581355
